Player,Team,GP,W,L,MIN,REB,CON_REB,CON_REB_PCT,REB_CHANCES,REB_CHANCES_PCT,DEFER_REB,ADJ_REB_CHANCE_PCT,AVG_REB_DIST
Matt Bonner,SAS,72,49,23,13,1.6,0.6,36.5,4.1,39.4,0.3,42.8,7.7
Matthew Dellavedova,CLE,66,43,23,20.7,1.9,0.4,20.3,5.1,36.8,0.4,39.9,10.7
Maurice Harkless,ORL,45,9,36,15,2.4,0.9,39.6,4.8,48.8,0.4,53.3,6.8
Meyers Leonard,POR,55,32,23,15.4,4.5,1.7,38,8.1,56.3,0.6,60.7,5.5
Michael Beasley,MIA,24,11,13,21,3.7,1.5,39.3,7.4,50.3,0.5,53.6,5.7
Michael Carter-Williams,MIL,66,21,45,32.6,5.3,1.5,28.3,11.1,48.2,0.6,50.9,8
Michael Kidd-Gilchrist,CHA,55,27,28,28.9,7.6,2.7,36.3,14.5,52.1,1.1,56.1,6
Mike Conley,MEM,70,47,23,31.8,3,0.5,15.3,6.9,43.3,0.6,47.2,10.1
Mike Dunleavy,CHI,63,41,22,29.2,3.9,1,25,8.9,44.2,0.9,49.4,7.5
Mike Miller,CLE,51,31,20,13.2,1.8,0.3,18.7,3.4,52.3,0.2,56.2,7.4
Mike Muscala,ATL,40,26,14,12.6,3,1.5,48.7,6.8,43.8,0.5,46.9,5.2
Mike Scott,ATL,68,52,16,16.5,2.9,1.3,43.7,5.5,52.8,0.3,56.2,6.1
Miles Plumlee,MIL,73,34,39,16.4,4.4,2.2,50.6,9.3,47.3,0.7,51.2,4.6
Miroslav Raduljica,MIN,5,0,5,4.5,1,0.4,40,2.6,38.5,0.2,41.7,5.9
Mirza Teletovic,BKN,40,16,24,22.3,4.9,2,40.2,9.8,49.5,0.6,52.9,5.1
Mitch McGary,OKC,32,20,12,15.2,5.2,2.4,46.7,9.5,54.5,0.8,59.4,5.6
Mo Williams,CHA,67,20,47,29.4,2.6,0.4,14,5.5,46.6,0.4,50.3,10.4
Monta Ellis,DAL,80,50,30,33.7,2.4,0.5,20.5,6.5,36.5,0.4,38.5,9.8
